aaa,bbb,ccc,ddd,eee,fff,ggg,hhh,iii,jjj,kkk,lll,mmm,nnn,ooo,ppp,qqq,rrr,sss,ttt,uuu,vvv,www,xxx,yyy,zzz,abc,bca,bcd,adc,aed,afg,ags,ahp,ail,ajm,bkx,ilm,hmt,xnl,aop,aph,aqr,gru,asi,atn,bus,avq,awn,axo,qyv,uzx,bap,nba,ncd,pdq,lek,mlf,gan,hur,iqp,Class
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4259008
0.7714685,0.6910756,0.621998,0.7624575,0.7861938,0.7594272,0.747639,0.6746054,0.7491908,0.7287979,0.7216717,0.6418115,0.7173693,0.646347,0.731655,0.7801332,0.8358974,0.8267599,0.8512354,0.839021,0.7785481,0.8479853,0.8326474,0.8479853,0.8540926,0.839021,0.8298368,0.8540926,0.7785481,0.8418781,0.8389744,0.4259008,0.8535731,0.4259008,0.4259008,0.4259008,0.597649,0.7225042,0.7855345,0.8520679,0.4259008,0.8116417,0.7544522,0.4259008,0.4259008,0.597649,0.7583616,0.4259008,0.6205861,0.6263004,0.4259008,0.4259008,0.7465867,0.4259008,0.4259008,0.4259008,0.4259008,0.4259008,0.4259008,0.4259008,0.8239361,0.8656943
